"Add New Popup","Adăugare Popup Nou"
"Are you sure?","Sunteți sigur?"
"Back","Înapoi"
"Category Page","Pagina Categorii"
"Content (Static Block)","Conținut (Bloc Static)"
"Cookie Expiration Time","Timp Expirare Cookie"
"Delete","Ștergere"
"Delete Popup","Ștergere Popup"
"Disabled","Dezactivat"
"Display Popup Delay","Timp Afișare Popup după Încărcarea Paginii"
"Edit Popup", "Modificare Popup"
"Enabled","Activat"
"Expiration time in hours. e.g. 12 = 12 hours","Timp expirare in ore. e.g. 12 = 12 ore"
"General Configuration","Configurări Generale"
"Please select popup(s)","Vă rugăm selectați popup(urile)"
"Popup","Popup"
"Popup ID","ID Popup"
"Popup Information","Informații Popup"
"Popup was successfully deleted","Popup-ul a fost șters cu succes"
"Product Page","Pagina Produse"
"Reset","Resetare"
"Save Popup","Salvează Popup"
"Save And Continue Edit","Salvează și Continuă Editarea"
"Show on Category Pages","Afișează pe Paginile de Categorie"
"Show on Pages","Afișează pe Paginile"
"Status","Status"
"The popup has been successfully saved.","Popup-ul a fost salvat cu succes."
"This will be consider only if the value <b>Category Page</b> is selected in <b>Show on Pages</b> multiselect.","Acest câmp va fi luat în considerare numai dacă valoarea <b>Category Page</b> este selectată în câmpul <b>Afisează pe Paginile</b>"
"Title","Titlu"
"Time in milliseconds. e.g. 2000 = 2 seconds","Timp in milisecunde. ex. 2000 = 2 secunde"
"Total of %d record(s) were successfully deleted","Un total de %d înregistrări au fost șterse"
"Disable Background PopUp Click","Dezactivați click-ul de fundal"
"Will be used when more than one popup on the same page.","Este folosit când pe aceeași pagina sunt mai multe popup-uri."
