"Legal Name","Numele legal"
"Allowed file types: <strong>jpg, jpeg, png</strong>.","Tipuri de fisiere permise: <strong>jpg, jpeg, png</strong>."
"Founding Date","Data infiintarii"
"Use only <strong>DIGITS</strong>!","Utilizati doar <strong>CIFRE</strong>!"
"Founders","Fondatori"
"List founders name separated by <strong>COMMAS</strong>!","Listeaza numele fondatorilor separati de <strong>VIRGULE</strong>!"
"Map Address","Mapeaza Adresa"
"Map ContactPoint","Mapeaza Punctul de Contact"
"Product Data","Informatii produs"
"<strong>*NOTE:</strong> If you are <strong>NOT using reviews</strong> in your project, please <strong>DISABLE</strong> this option for <strong>better performance</strong>.","<strong>*NOTA:</strong> Daca <strong>NU utilizati</strong> review-urile in proiectul dvs., ar trebui ca optiunea sa fie <strong>DEZACTIVATA</strong> pentru o <strong>performanta mai buna</strong>."
"Split Configurable Products","Imparte produsul configurabil"
"<strong>It's recommended using this</strong> function and split the simple products in the configurable ones <strong>to generate UNIQUE DATA for each simple product</strong>! <br /> <strong>*NOTE:</strong> Attributes used for creating configurable products <strong>MUST HAVE ""Used in Product Listing"" option enabled!</strong>","<strong>Este recomandat sa folositi aceasta optiune</strong> de a imparti produsul configurabil in produse simple, ca sa se <strong>genereze DATA UNICE pentru fiecare produs simplu</strong>! <br /> <strong>*Nota:</strong> Atributele folosite pentru crearea produselor configurabile <strong>trebuie sa aiba optiunea de ""Folosit în lista de produse"" activata!</strong>"
"Map Attributes","Mapeaza atribute aditionale"
"Attribute","Atribut"
"Add new attribute","Adauga un atribut nou"
"Map <strong>additional attributes</strong> that will be used. <br /> <strong>*NOTE:</strong> Attributes must have enabled <strong>""Use in Layered Navigation""</strong>! <br /> <strong>*NOTE:</strong> Name used for mapping must be written in <strong>ENGLISH</strong>!","Mapeaza atribute aditionale. <br /> <strong>*Nota:</strong> Atributele folosite pentru crearea produselor configurabile <strong>trebuie sa aiba optiunea de ""Folosit în lista de produse"" activata!</strong> <br /> <strong>*NOTA:</strong> Numele atributului utilizat in mapare trebuie sa fie in <strong>ENGLEZA</strong>!"
"Enable Breadcrumbs","Activati Breadcrumbs"
"Enable Website","Activati Catalog Search"
"Enable Blog","Activati Articol Blog"
"Map Supper Attributes","Mapeaza atributele configurabile"
"Map <strong>supper attributes</strong> used for creating configurable products. <br /> <strong>*NOTE:</strong> Attributes must have enabled <strong>""Use To Create Configurable Product""</strong>! <br /> <strong>*NOTE:</strong> Name used for mapping must be written in <strong>ENGLISH</strong>!","Mapeaza atributele folosite la crearea produselor configurabile. <br /> <strong>*Nota:</strong> Atributele folosite pentru crearea produselor configurabile <strong>trebuie sa aiba optiunea de ""Utilizare la Creare Produs Configurabil"" activata!</strong> <br /> <strong>*NOTA:</strong> Numele atributului utilizat in mapare trebuie sa fie in <strong>ENGLEZA</strong>!"
