"Custom Shipping Methods","Metode de Livrare Personalizate"
"Enabled","Activat"
"Shipping Methods","Metode Expediere"
"Delete","Şterge"
"Add Shipping Method","Adaugă Metodă"
"Title","Titlu"
"Address","Adresă"
"Information","Informații"
"Sort Order", "Ordine Sortare"
"Shipping<br>Price","Preț<br>Expediere"
"Note that by default Magento sorts shipping methods by price. Sort order works only if the prices are equal.</br><b>Additional price is percentage of order value. Leave it empty if do not want additional price.</b>","Atentie! Magento sortează implicit metodele in functie de preț. Ordinea de sortare functioneaza numai in cazul in care exista metode cu pret egal.</br><b>Pretul aditional este procent din valoarea comenzii. Nu se completeaza daca nu se doreste pret aditional ca procent din totalul comenzii."
"Additional<br>Price (%)","Pret<br>Aditional (%)"
