"-- Please select --","-- Selectați --"
"Allowed Currencies","Valute Permise"
"Base Currency","Valuta de Bază"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Valuta de bază este folosită pentru toate tranzacțiile de plată on-line. Acoperirea este definită de acoperirea prețului de catalog ("Catalog" > "Preț" > "Acoperire Preț Catalog")."
"Can\'t convert rate from ""%s-%s"".","Nu se poate converti cota de la "%s-%s"."
"Cannot retrieve rate from %s.","Nu se poate recupera cota de la %s."
"Connection Timeout in Seconds","Timeout Conexiune în Secunde"
"Continue &raquo;","Continuare &raquo;"
"Country","Țara"
"Country API","API Țări"
"Country and Format Type combination should be unique","Combinația Țară și Tip Format trebuie să fie unică"
"Currency","Valuta"
"Currency Options","Opțiuni Valută"
"Currency Setup","Setări Valută"
"Currency Update Warnings","Alerte Actualizare Valută"
"Default Display Currency","Valuta Implicită de Afișare"
"Directory","Director"
"Display not required State","Afișare Stat ne-necesar"
"Enabled","Activat"
"Error Email Recipient","Destinatar E-mail Erori"
"Error Email Sender","Expeditor E-mail Erori"
"Error Email Template","Șablon E-mail Erori"
"FATAL ERROR:","EROARE FATALĂ:"
"Frequency","Frecvență"
"Installed Currencies","Valute Instalate"
"Invalid Import Service specified.","Serviciu de Importare specificat este Invalid."
"Invalid country code: %s","Cod țară invalid: %s"
"Invalid rates received","Cursuri primite invalide"
"Invalid target currency.","Valuta țintă invalidă."
"List of countries","Lista țărilor"
"List of regions in specified country","Lista regiunilor din țara specificată"
"Postal Code is Optional for the following countries","Cod Poștal Opțional pentru țările următoare"
"Region","Regiune"
"Region API","API Regiune"
"Scheduled Import Settings",S"etări Importare Planificate"
"Select Your Currency","Selectați Valuta"
"Service","Serviciu"
"Start Time","Timp Pornire"
"State is required for","Statul este necesar pentru"
"State/Province","Județ"
"States Options","Opțiuni State"
"Strikeiron Email Update Warnings","Avertizări Actualizare E-mail Strikeiron"
"Unable to initialize the import model.","Imposibil de inițializat modelul de importare."
"Undefined rate from ""%s-%s"".","Rată nedefinită de la "%s-%s"."
"WARNING:","ATENȚIE:"
"Webservicex","Webservicex"
Your Currency,"Valuta Dvs"
Your Currency:,"Valuta Dvs:"
"Your current currency is: %s","Valuta dvs. curentă este: %s"
