" Copy"," Copie"
"Action","Acțiune"
"Add New Template","Adăugare Șablon Nou"
"Add to Queue","Adăugare la Coadă"
"Allow Guest Subscription","Permitere Abonare Vizitatori"
"An error occurred while saving your subscription.","Eroare la salvarea abonării dvs."
"Are you sure that you want to delete this template?","Sunteți sigur că vreți să stergeți șablonul?"
"Are you sure that you want to strip all tags?","Sunteți sigur că vreți să scoateți toate etichetele?"
"Back","Înapoi"
"Cancel","Anulare"
"Cancelled","Anulat"
"Cannot mark as received subscriber.","Nu se poate nota ca abonat recepționat."
"Confirmation Email Sender","Expeditor E-mail Confirmare"
"Confirmation Email Template","Șablon E-mail Confirmare"
"Confirmation request has been sent.","Cererea de abonare a fost trimisa cu succes. Te rugam sa confirmi abonarea prin accesarea emailului primit."
"Convert to Plain Text","Schimbare în Text Simplu"
"Create Newsletter Template","Creare Șablon Newsletter"
"Customer","Client"
"Customer First Name","Prenume Client"
"Customer Last Name","Nume Familie Client"
"Customer My Account Newsletter Subscriptions","Abonamente Newsletter Contul Meu Client"
"Customer My Account Newsletter Subscriptions","Abonamente Newsletter Contul Meu Client"
"Date Added","Adăugat la Data"
"Date Updated","Actualizat la Data"
"Delete","Ștergere"
"Delete Selected Problems","Ștergere Probleme Selectate"
"Delete Template","Stergere Șablon"
"Do you really want to cancel the queue?","Sunteți sigur că doriți să anulați coada?"
"Duplicate template code.","Duplicat cod șablon."
"Edit Newsletter","Modificare Newsletter"
"Edit Newsletter Template","Modificare Șablon Newsletter"
"Edit Queue","Modificare Coadă"
"Edit Template","Modificare Șablon"
"Email","E-mail"
"Enter your email address","Introduceți-vă adresa de e-mail..."
"Error Code","Cod Eroare"
"Error Text","Text Eroare"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Urmăriți această legătură pentru a va dezabona <!-- Această etichetă e pentru legătura de dezabonare  --><a href="{{var subscriber.getUnsubscriptionLink()}}">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Vizitator"
"ID","ID"
"Invalid queue selected.","Coadă selectată invalidă."
"Invalid subscription ID.","ID abonare invalid."
"Invalid subscription confirmation code.","Cod confirmare abonare invalid."
"Message","Mesaj"
"Need to Confirm","Necesită Confirmare"
"New Newsletter Template","Șablon Newsletter Nou"
"New Template","Șablon Nou"
"Newsletter","Newsletter"
"Newsletter Message Preview","Previzualizare Mesaj Newsletter"
"Newsletter Problem Reports","Rapoarte Probleme Newsletter"
"Newsletter Queue","Coadă Newsletter"
"Newsletter Section","Secțiune Newsletter"
"Newsletter Sign-up:","Abonare Newsletter:"
"Newsletter Styles","Stiluri Newsletter"
"Newsletter Subscribers","Abonați"
"Newsletter Subscription","Abonament Newsletter"
"Newsletter Subscription Form Before","Formular Abonare Newsletter Înainte"
"Newsletter Subscriptions","Abonamente Newsletter"
"Newsletter Templates","Șabloane"
"Newsletter subscription confirmation","Confirmarea abonării la Newsletter"
"Newsletter subscription success","Abonare Newsletter reușită"
"Newsletter unsubscription success","Dezabonare Newsletter reușită"
"No Templates Found","Niciun Șablon Găsit"
"No problems found.","Nicio problemă găsită."
"No subscribers selected.","Niciun abonat selectat."
"Not Activated","Nu este activat"
"Not Sent","Nu a fost trimis"
"Pause","Pauză"
"Paused","În pauză"
"Please enter a valid email address.","Introduceți o adresă e-mail validă."
"Please enter new template name","Introduceți numele noului șablon"
"Please refer to exeption.log","Consultați exeption.log"
"Please select subscriber(s)","Alegeți abonatul(ții)"
"Preview","Previzualizare"
"Preview Template","Previualizare șablon"
"Processed","Procesat"
"Queue Date Start","Dată Începere Coadă"
"Queue Finish","Final Coadă"
"Queue Information","Informații Coadă"
"Queue Newsletter...","Coadă Newsletter..."
"Queue Start","Start Coadă"
"Queue Subject","Subiect Coadă"
"Recipients","Destinatari"
"Reset","Resetare"
"Resume","Reluare"
"Return HTML Version","Returnare Versiune HTML"
"Save As","Salvare Ca"
"Save Newsletter","Salvare Newsletter"
"Save Template","Salvare Șablon"
"Save and Resume","Salvare și Continuare"
"Selected problem subscribers have been unsubscribed.","Abonații cu probleme selectați au fost dezabonați."
"Selected problems have been deleted.","Problemele selectate au fost șterse."
"Sender","Expeditor"
