"%s %s cycle.","%s %s ciclu."
"* Required Fields","* Câmp obligatoriu"
"--Please Select--","--Selectați--"
"3D Secure Card Validation","Validare Card 3D Secure"
"3D Secure Credit Card Validation","Validare Card Credit 3D Secure"
"<label>Make Check payable to:</label> %s","<label>Cec plătibil către:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","O valoare este necesară pentru modul live. Consultați-vă acordul CardinalCommerce."
"Allow Initial Fee Failure","Permitere Eșec Taxă Inițială"
"An internal reference ID is required to save the payment profile.","Un ID de referință intern este necesar pentru a salva profilul de plată."
"Authorize action is not available.","Acțiunea de autorizare nu este disponibilă."
"Auto Bill on Next Cycle","Facturare Automată la următorul Ciclu"
"Automatically Invoice All Items","Facturare Automată Toate Articolele"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Facturare automată pentru suma excedentă balanței în următorul ciclu de facturare (dacă au existat plăți eșuate)."
"Bank Transfer Payment","Plată Transfer Bancar"
"Billing Agreement status is not set.","Status Acord Facturare nesetat."
"Billing Amount","Sumă Facturare"
"Billing Frequency","Frecvență Facturare"
"Billing Period","Perioadă Facturare"
"Billing Period Unit","Unitate Perioadă Facturare"
"Billing period unit is not defined or wrong.","Unitatea perioadei de facturare nu este definită sau este greșită."
"Cannot retrieve the payment info model object.","Nu se poate recupera obiectul model informații plată."
"Cannot retrieve the payment information object instance.","Nu se poate recupera instanța obiect informații plată."
"Cannot retrieve the payment method code.","Nu se poate recupera codul metodei de plată."
"Cannot retrieve the payment method model object.","Nu se poate recupera obiectul model metodă de plată."
"Capture action is not available.","Acțiunea de captură nu este disponibilă."
"Card Verification Number","Număr Verificare Card"
"Cash On Delivery Payment","Plată Ramburs la Livrare"
"Centinel API URL","URL API Centinel"
"Check / Money Order","Comandă Cec / Bani"
"Credit Card Number","Număr Card Credit"
"Credit Card Number: xxxx-%s","Număr Card Credit: xxxx-%s"
"Credit Card Type","Tip Card Credit"
"Credit Card Type: %s","Tip Card Credit: %s"
"Credit Card Types","Tipuri Card Credit"
"Credit card number mismatch with credit card type.","Numărul cardului de credit nu se potrivește cu tipul cardului de credit."
